epoch,loss,lr,val_loss
0,0.00032960661337710917,0.001,6.773401401005685e-05
1,5.917624002904631e-05,0.001,5.0109218136640266e-05
2,4.6257482608780265e-05,0.001,4.5675962610403076e-05
3,4.042208820465021e-05,0.001,4.275641913409345e-05
4,3.6531015211949125e-05,0.001,3.9676029700785875e-05
5,2.1297040802892298e-05,1e-04,2.1808480596519075e-05
6,2.0669525838457048e-05,1e-04,2.0920864699291997e-05
7,2.0214476535329595e-05,1e-04,1.97579174709972e-05
8,1.9817587599391118e-05,1e-04,2.0444345864234492e-05
9,1.948493991221767e-05,1e-04,2.0756626327056438e-05
10,1.9159890143782832e-05,1e-04,2.037787635345012e-05
11,1.8891965737566352e-05,1e-04,2.0430839867913164e-05
12,1.8621056369738653e-05,1e-04,1.9113840608042665e-05
13,1.8367380107520148e-05,1e-04,1.9604070985224098e-05
14,1.815158611861989e-05,1e-04,1.926664845086634e-05
15,1.7917569493874907e-05,1e-04,1.825801155064255e-05
16,1.7718748495099135e-05,1e-04,1.8849537809728645e-05
17,1.7509601093479432e-05,1e-04,1.8877917682402767e-05
18,1.7310801922576502e-05,1e-04,1.8432650904287584e-05
19,1.7128317267633975e-05,1e-04,1.8802751583280042e-05
20,1.54260233102832e-05,1e-05,1.636189699638635e-05
21,1.537012394692283e-05,1e-05,1.6230662367888726e-05
22,1.5324883861467242e-05,1e-05,1.6325178876286373e-05
23,1.528666507510934e-05,1e-05,1.663207876845263e-05
24,1.5249058378685731e-05,1e-05,1.6227419109782204e-05
25,1.5219065971905366e-05,1e-05,1.618563328520395e-05
26,1.5183664800133556e-05,1e-05,1.615873225091491e-05
27,1.5151929801504593e-05,1e-05,1.6211379261221737e-05
28,1.5124480341910385e-05,1e-05,1.605755096534267e-05
29,1.5088618056324776e-05,1e-05,1.6230949768214487e-05
30,1.5062798411236145e-05,1e-05,1.6084617527667433e-05
31,1.5031054317660164e-05,1e-05,1.6142541426233947e-05
32,1.5003809494373854e-05,1e-05,1.6104348105727695e-05
33,1.4973364159232005e-05,1e-05,1.6272089851554483e-05
34,1.4943872884032317e-05,1e-05,1.582720324222464e-05
35,1.4916106010787189e-05,1e-05,1.599168717802968e-05
36,1.4890470083628315e-05,1e-05,1.589990824868437e-05
37,1.486422297602985e-05,1e-05,1.58113816723926e-05
38,1.4838722563581541e-05,1e-05,1.5941983292577788e-05
39,1.4815194845141377e-05,1e-05,1.587518272572197e-05
40,1.478770536778029e-05,1e-05,1.5856185200391337e-05
41,1.4763311810384039e-05,1e-05,1.585899190104101e-05
42,1.4738639038114343e-05,1e-05,1.5763234841870144e-05
43,1.4712255506310612e-05,1e-05,1.580855496285949e-05
44,1.468679511162918e-05,1e-05,1.5884274034760892e-05
45,1.4665269191027619e-05,1e-05,1.5656385585316457e-05
46,1.4638026186730713e-05,1e-05,1.5935595001792535e-05
47,1.4613646271754988e-05,1e-05,1.5662208170397207e-05
48,1.459091163269477e-05,1e-05,1.584274650667794e-05
49,1.4568734513886739e-05,1e-05,1.5592768249916844e-05
50,1.4545468729920685e-05,1e-05,1.5668438209104352e-05
51,1.4519215255859308e-05,1e-05,1.5695488400524482e-05
52,1.4494357856165152e-05,1e-05,1.557715586386621e-05
53,1.4474247109319549e-05,1e-05,1.5581137631670572e-05
54,1.4448448382609058e-05,1e-05,1.5658279153285548e-05
55,1.4431627278099768e-05,1e-05,1.5443201846210286e-05
56,1.4404452485905495e-05,1e-05,1.5723935575806536e-05
57,1.4387498595169745e-05,1e-05,1.53815981320804e-05
58,1.4364246453624219e-05,1e-05,1.5519342923653312e-05
59,1.4341385394800454e-05,1e-05,1.5503661416005343e-05
60,1.4317345630843192e-05,1e-05,1.5505052942899056e-05
61,1.4299223948910367e-05,1e-05,1.5647272448404692e-05
62,1.427849019819405e-05,1e-05,1.5565661669825204e-05
63,1.4254880625230726e-05,1e-05,1.5264336980180815e-05
64,1.4236775314202532e-05,1e-05,1.554289883642923e-05
65,1.421683919033967e-05,1e-05,1.5259822248481214e-05
66,1.419200543750776e-05,1e-05,1.526293453935068e-05
67,1.4169037058309186e-05,1e-05,1.5438892660313286e-05
68,1.4155225471768063e-05,1e-05,1.540375524200499e-05
69,1.4127361282589845e-05,1e-05,1.544252700114157e-05
70,1.4108007235336117e-05,1e-05,1.5116476788534783e-05
71,1.4082454072195105e-05,1e-05,1.548318141431082e-05
72,1.4065764844417572e-05,1e-05,1.5350180547102354e-05
73,1.4048704542801715e-05,1e-05,1.5257554878189694e-05
74,1.4029825251782313e-05,1e-05,1.511089885752881e-05
75,1.4005900993652176e-05,1e-05,1.5204203918983694e-05
76,1.3991469131724443e-05,1e-05,1.516936936241109e-05
77,1.3968286111776251e-05,1e-05,1.5092648936843034e-05
78,1.3952384506410453e-05,1e-05,1.5115304449864198e-05
79,1.3931395187682938e-05,1e-05,1.5231032193696592e-05
80,1.390931174682919e-05,1e-05,1.5109418200154323e-05
81,1.3890801710658707e-05,1e-05,1.5212253856589086e-05
82,1.3872685485694092e-05,1e-05,1.5164784599619452e-05
83,1.3853193195245694e-05,1e-05,1.515124040452065e-05
84,1.3834192031936254e-05,1e-05,1.5006545254436787e-05
85,1.3813384612149093e-05,1e-05,1.5112410437723156e-05
86,1.3796075108984951e-05,1e-05,1.5065001207403839e-05
87,1.3774353647022508e-05,1e-05,1.4947197996661998e-05
88,1.3758505701844115e-05,1e-05,1.4742688108526636e-05
89,1.3739971109316684e-05,1e-05,1.5047051419969648e-05
90,1.3724981727136765e-05,1e-05,1.4982552784204017e-05
91,1.370040172332665e-05,1e-05,1.483966116211377e-05
92,1.3681820746569429e-05,1e-05,1.4909614037605934e-05
93,1.3666412087331992e-05,1e-05,1.4798239135416225e-05
94,1.3649207176058553e-05,1e-05,1.4793032278248575e-05
95,1.3628453416458797e-05,1e-05,1.4790411114518065e-05
96,1.3613803275802638e-05,1e-05,1.4731119335920084e-05
97,1.359129419142846e-05,1e-05,1.4715903489559423e-05
98,1.357498604193097e-05,1e-05,1.4873793588776607e-05
99,1.3555791156250052e-05,1e-05,1.4821327567915432e-05
