epoch,loss,lr,val_loss
0,0.0004768081707879901,0.001,0.00010252925130771473
1,8.032826008275151e-05,0.001,7.6212891144678e-05
2,5.821101149194874e-05,0.001,6.99427691870369e-05
3,4.95123713335488e-05,0.001,4.464017547434196e-05
4,4.410344627103768e-05,0.001,3.645911783678457e-05
5,2.4938575734267943e-05,1e-04,2.6569599867798388e-05
6,2.4064416720648296e-05,1e-04,2.6398220143164508e-05
7,2.3437589334207587e-05,1e-04,2.3644533939659595e-05
8,2.288112955284305e-05,1e-04,2.3826107280910946e-05
9,2.245955511170905e-05,1e-04,2.3627297196071595e-05
10,2.2030313630239107e-05,1e-04,2.2164822439663112e-05
11,2.1673093215213157e-05,1e-04,2.236813452327624e-05
12,2.1307971110218205e-05,1e-04,2.3695436539128423e-05
13,2.102268990711309e-05,1e-04,2.252901867905166e-05
14,2.0718525775009766e-05,1e-04,2.3134827642934397e-05
15,2.0470028175623156e-05,1e-04,2.2525333406520076e-05
16,2.018823397520464e-05,1e-04,2.1124316845089197e-05
17,1.9969704226241447e-05,1e-04,2.2049180188332684e-05
18,1.9725566744455136e-05,1e-04,2.2527639885083772e-05
19,1.9525145035004243e-05,1e-04,2.1042405933258124e-05
20,1.74399719981011e-05,1e-05,1.9157490896759555e-05
21,1.7369171473546885e-05,1e-05,1.92823245015461e-05
22,1.7321335690212436e-05,1e-05,1.8964719856739976e-05
23,1.7281254258705303e-05,1e-05,1.899338349176105e-05
24,1.7231634046765976e-05,1e-05,1.8997778170160018e-05
25,1.7198000932694413e-05,1e-05,1.869874176918529e-05
26,1.7156449757749215e-05,1e-05,1.883771074062679e-05
27,1.710576907498762e-05,1e-05,1.8785029169521295e-05
28,1.707784213067498e-05,1e-05,1.8949338482343592e-05
29,1.704435817373451e-05,1e-05,1.8633772924658842e-05
30,1.700378743407782e-05,1e-05,1.9081951904809102e-05
31,1.6968546333373524e-05,1e-05,1.884380981209688e-05
32,1.6931888239923865e-05,1e-05,1.8566552171250805e-05
33,1.6894829968805425e-05,1e-05,1.875419184216298e-05
34,1.6857655282365158e-05,1e-05,1.883286313386634e-05
35,1.682487527432386e-05,1e-05,1.85556746146176e-05
36,1.6791007510619238e-05,1e-05,1.8687356714508496e-05
37,1.676197280175984e-05,1e-05,1.8406313756713644e-05
38,1.673143924563192e-05,1e-05,1.8250046196044423e-05
39,1.6696283637429588e-05,1e-05,1.8608585378387943e-05
40,1.66632016771473e-05,1e-05,1.8425977032165974e-05
41,1.6630123354843818e-05,1e-05,1.8518978322390467e-05
42,1.6595740817137994e-05,1e-05,1.8245276805828325e-05
43,1.6568321370868944e-05,1e-05,1.8438033293932676e-05
44,1.6541785953450017e-05,1e-05,1.8300464944331907e-05
45,1.6507075997651555e-05,1e-05,1.8047643607133068e-05
46,1.6475123629788868e-05,1e-05,1.848623651312664e-05
47,1.6453946955152787e-05,1e-05,1.8152877601096407e-05
48,1.6419282474089414e-05,1e-05,1.8157201338908635e-05
49,1.6385798517148942e-05,1e-05,1.804111343517434e-05
50,1.635811713640578e-05,1e-05,1.8180384358856827e-05
51,1.6333638996002264e-05,1e-05,1.8187605746788904e-05
52,1.63055447046645e-05,1e-05,1.804489511414431e-05
53,1.6272884749923833e-05,1e-05,1.8054546671919525e-05
54,1.6243429854512215e-05,1e-05,1.8104377886629663e-05
55,1.621428964426741e-05,1e-05,1.784700907592196e-05
56,1.6191315808100626e-05,1e-05,1.8338667359785177e-05
57,1.6158299331436865e-05,1e-05,1.812692244129721e-05
58,1.6136898921104148e-05,1e-05,1.8067648852593265e-05
59,1.6103351299534552e-05,1e-05,1.77865986188408e-05
60,1.6081550711533055e-05,1e-05,1.7811533325584605e-05
61,1.6047231838456355e-05,1e-05,1.788053850759752e-05
62,1.6020463590393774e-05,1e-05,1.8016668036580086e-05
63,1.599517599970568e-05,1e-05,1.775508644641377e-05
64,1.5973264453350566e-05,1e-05,1.8377921151113696e-05
65,1.5939380318741314e-05,1e-05,1.7631411537877284e-05
66,1.591572981851641e-05,1e-05,1.776942917786073e-05
67,1.588739178259857e-05,1e-05,1.7765140000847168e-05
68,1.586347025295254e-05,1e-05,1.768047695804853e-05
69,1.5845002053538337e-05,1e-05,1.764011540217325e-05
70,1.581360265845433e-05,1e-05,1.773419717210345e-05
71,1.5784276911290362e-05,1e-05,1.768478614394553e-05
72,1.5764235286042094e-05,1e-05,1.7512582417111844e-05
73,1.5736375644337386e-05,1e-05,1.766561035765335e-05
74,1.5709996660007164e-05,1e-05,1.7463013136875816e-05
75,1.5688006897107698e-05,1e-05,1.73361931956606e-05
76,1.5659770724596456e-05,1e-05,1.7444508557673544e-05
77,1.5637131582479924e-05,1e-05,1.7548098185216077e-05
78,1.561177305120509e-05,1e-05,1.7586442481842823e-05
79,1.5586832887493074e-05,1e-05,1.7507087250123732e-05
80,1.5564128261758015e-05,1e-05,1.7744809156283736e-05
81,1.5537731087533757e-05,1e-05,1.776821409293916e-05
82,1.551586865389254e-05,1e-05,1.7402167941327207e-05
83,1.549388798594009e-05,1e-05,1.7302390915574506e-05
84,1.5463510862900876e-05,1e-05,1.7236277926713228e-05
85,1.5443165466422215e-05,1e-05,1.722439810691867e-05
86,1.542149402666837e-05,1e-05,1.7267240764340386e-05
87,1.5400055417558178e-05,1e-05,1.7208563804160804e-05
88,1.5372521374956705e-05,1e-05,1.7137468603323214e-05
89,1.5349134628195316e-05,1e-05,1.7402768207830377e-05
90,1.5328023437177762e-05,1e-05,1.7325870430795476e-05
91,1.530496774648782e-05,1e-05,1.7297121303272434e-05
92,1.5279731087503023e-05,1e-05,1.7617841876926832e-05
93,1.5260597137967125e-05,1e-05,1.7444021068513393e-05
94,1.523881292087026e-05,1e-05,1.7029089576681145e-05
95,1.5213908227451611e-05,1e-05,1.70813909790013e-05
96,1.5195324522210285e-05,1e-05,1.7026990462909453e-05
97,1.5168408026511315e-05,1e-05,1.727008020679932e-05
98,1.5149144019233063e-05,1e-05,1.7050449969246984e-05
99,1.5128701306821313e-05,1e-05,1.6883370335563086e-05
