epoch,loss,lr,val_loss
0,0.0007929109269753098,0.001,0.0001725039619486779
1,0.00013530506112147123,0.001,9.39984165597707e-05
2,9.059219155460596e-05,0.001,8.845731645124033e-05
3,7.48850725358352e-05,0.001,7.05163911334239e-05
4,6.725616549374536e-05,0.001,7.687990728300065e-05
5,3.9821861719246954e-05,1e-04,3.902192474924959e-05
6,3.857034971588291e-05,1e-04,3.99901473429054e-05
7,3.7534264265559614e-05,1e-04,3.7150261050555855e-05
8,3.6641667975345626e-05,1e-04,3.705707786139101e-05
9,3.582959470804781e-05,1e-04,3.538550663506612e-05
10,3.503993139020167e-05,1e-04,3.528729212121107e-05
11,3.441287117311731e-05,1e-04,3.630628270911984e-05
12,3.37534693244379e-05,1e-04,3.388453114894219e-05
13,3.3124575566034764e-05,1e-04,3.3949429052881896e-05
14,3.257665957789868e-05,1e-04,3.320352334412746e-05
15,3.2023170206230134e-05,1e-04,3.278406438766979e-05
16,3.1474199204239994e-05,1e-04,3.0766350391786546e-05
17,3.1019259040476754e-05,1e-04,3.167798786307685e-05
18,3.05273752019275e-05,1e-04,3.210906288586557e-05
19,3.008619387401268e-05,1e-04,3.2451414881506935e-05
20,2.7094038159702905e-05,1e-05,2.81009324680781e-05
21,2.698766729736235e-05,1e-05,2.763051634246949e-05
22,2.6890375011134893e-05,1e-05,2.7898395273950882e-05
23,2.6819348931894638e-05,1e-05,2.7604346541920677e-05
24,2.6742000045487657e-05,1e-05,2.807291275530588e-05
25,2.6666595658753067e-05,1e-05,2.7499936550157145e-05
26,2.6598545446177013e-05,1e-05,2.7801601390819997e-05
27,2.6530939067015424e-05,1e-05,2.7635418518912047e-05
28,2.646878238010686e-05,1e-05,2.739061164902523e-05
29,2.6399700800538994e-05,1e-05,2.7145402782480232e-05
30,2.633396979945246e-05,1e-05,2.7226949896430597e-05
31,2.6265286578563973e-05,1e-05,2.7420346668804996e-05
32,2.6207411792711355e-05,1e-05,2.697149284358602e-05
