epoch,loss,lr,val_loss
0,0.0019489683909341693,0.001,0.0003504417836666107
1,0.0002642320469021797,0.001,0.0002354522148380056
2,0.00019218624220229685,0.001,0.00027404827415011823
3,0.00014717881276737899,0.001,0.0001717647392069921
4,0.00012120715109631419,0.001,0.00012533699919003993
5,6.777972885174677e-05,1e-04,7.065469981171191e-05
6,6.598639447474852e-05,1e-04,7.37488444428891e-05
7,6.383478466887027e-05,1e-04,6.503387703560293e-05
8,6.204155943123624e-05,1e-04,6.748879968654364e-05
9,6.0172453231643885e-05,1e-04,6.468273932114244e-05
10,5.8536938013276085e-05,1e-04,6.289021985139698e-05
11,5.6590473832329735e-05,1e-04,6.024208414601162e-05
12,5.49071301065851e-05,1e-04,5.922582568018697e-05
13,5.348136619431898e-05,1e-04,5.653153857565485e-05
14,5.208273796597496e-05,1e-04,5.585727922152728e-05
15,5.0684269808698446e-05,1e-04,5.632357715512626e-05
16,4.9589769332669675e-05,1e-04,5.363236414268613e-05
17,4.852961137657985e-05,1e-04,5.198053258936852e-05
18,4.749376603285782e-05,1e-04,5.093534127809107e-05
19,4.655407974496484e-05,1e-04,4.993870243197307e-05
20,4.164776692050509e-05,1e-05,4.609606912708841e-05
21,4.146373612456955e-05,1e-05,4.578971493174322e-05
22,4.1331299144076183e-05,1e-05,4.604962305165827e-05
23,4.118870128877461e-05,1e-05,4.5735079766018316e-05
24,4.104095933143981e-05,1e-05,4.584132693707943e-05
25,4.0933711716206744e-05,1e-05,4.514466127147898e-05
26,4.079305290360935e-05,1e-05,4.538050779956393e-05
27,4.068831913173199e-05,1e-05,4.4882090151077136e-05
28,4.0587900002719834e-05,1e-05,4.4903794332640246e-05
29,4.044334855279885e-05,1e-05,4.531653758022003e-05
30,4.034207813674584e-05,1e-05,4.4848955440102145e-05
31,4.0231469029095024e-05,1e-05,4.4676155084744096e-05
32,4.012068529846147e-05,1e-05,4.457700561033562e-05
33,4.002114656032063e-05,1e-05,4.467556573217735e-05
34,3.9908747567096725e-05,1e-05,4.4265747419558465e-05
35,3.980125984526239e-05,1e-05,4.5144704927224666e-05
36,3.970761099481024e-05,1e-05,4.398409146233462e-05
37,3.9599388401256874e-05,1e-05,4.393987910589203e-05
38,3.9484402805101126e-05,1e-05,4.4164036808069795e-05
39,3.938776717404835e-05,1e-05,4.442195495357737e-05
40,3.9316932088695467e-05,1e-05,4.3971172999590635e-05
41,3.9197137084556744e-05,1e-05,4.357813304523006e-05
42,3.908739745384082e-05,1e-05,4.373165938886814e-05
43,3.89893539249897e-05,1e-05,4.364356937003322e-05
44,3.8907313864910975e-05,1e-05,4.345922570792027e-05
45,3.88079606636893e-05,1e-05,4.383656050777063e-05
46,3.871383160003461e-05,1e-05,4.3588122935034335e-05
47,3.862352969008498e-05,1e-05,4.314422039897181e-05
48,3.8532867620233446e-05,1e-05,4.331124000600539e-05
49,3.843713056994602e-05,1e-05,4.343955879448913e-05
50,3.8362435589078814e-05,1e-05,4.318292485550046e-05
51,3.828991248155944e-05,1e-05,4.313737736083567e-05
52,3.817540346062742e-05,1e-05,4.276423351257108e-05
53,3.809088229900226e-05,1e-05,4.315529076848179e-05
54,3.800401100306772e-05,1e-05,4.228307443554513e-05
55,3.7920890463283285e-05,1e-05,4.304355024942197e-05
56,3.78423064830713e-05,1e-05,4.2779127397807315e-05
57,3.7746041925856844e-05,1e-05,4.229189653415233e-05
58,3.765962537727319e-05,1e-05,4.2871870391536504e-05
59,3.7605339457513765e-05,1e-05,4.2298619518987834e-05
60,3.7516474549192935e-05,1e-05,4.280594293959439e-05
61,3.741448381333612e-05,1e-05,4.23135315941181e-05
62,3.735056452569552e-05,1e-05,4.2004758142866194e-05
63,3.72651411453262e-05,1e-05,4.235690357745625e-05
64,3.719922824529931e-05,1e-05,4.208156678942032e-05
65,3.7089143006596714e-05,1e-05,4.1878742194967344e-05
66,3.701499736052938e-05,1e-05,4.197958332952112e-05
67,3.693412509164773e-05,1e-05,4.223120049573481e-05
68,3.688431388582103e-05,1e-05,4.213046850054525e-05
69,3.679423753055744e-05,1e-05,4.182558768661693e-05
70,3.671559170470573e-05,1e-05,4.1493138269288465e-05
71,3.6637629818869755e-05,1e-05,4.1332710679853335e-05
72,3.655481123132631e-05,1e-05,4.107960558030754e-05
73,3.645766992121935e-05,1e-05,4.1976913053076714e-05
74,3.638301132014021e-05,1e-05,4.164675920037553e-05
75,3.633727101259865e-05,1e-05,4.1016472096089274e-05
76,3.62620412488468e-05,1e-05,4.106689084437676e-05
77,3.618292976170778e-05,1e-05,4.1168503230437636e-05
78,3.6091674701310694e-05,1e-05,4.079667996848002e-05
79,3.6009889299748465e-05,1e-05,4.070905924891122e-05
80,3.5941866372013465e-05,1e-05,4.163927587796934e-05
81,3.589196057873778e-05,1e-05,4.0938350139185786e-05
82,3.581863347790204e-05,1e-05,4.10360808018595e-05
83,3.5733504773816094e-05,1e-05,4.060945502715185e-05
84,3.5645414754981175e-05,1e-05,4.110571535420604e-05
85,3.560293771442957e-05,1e-05,4.0396334952674806e-05
86,3.552904672687873e-05,1e-05,4.085594628122635e-05
87,3.5448800190351903e-05,1e-05,4.0065297071123496e-05
88,3.53802133759018e-05,1e-05,4.004743095720187e-05
89,3.531078255036846e-05,1e-05,4.062665539095178e-05
90,3.524145358824171e-05,1e-05,4.0547543903812766e-05
91,3.517229197314009e-05,1e-05,4.0425195038551465e-05
92,3.508630834403448e-05,1e-05,3.9858161471784115e-05
93,3.5056778870057315e-05,1e-05,4.0507653466193005e-05
94,3.496534191071987e-05,1e-05,3.9945374737726524e-05
95,3.490918970783241e-05,1e-05,3.9970142097445205e-05
96,3.4826800401788205e-05,1e-05,3.973220009356737e-05
97,3.4752007195493206e-05,1e-05,3.9574682887177914e-05
98,3.4680433600442484e-05,1e-05,3.97469884774182e-05
