epoch,loss,lr,val_loss
0,0.029807239770889282,0.001,0.004142455291002989
1,0.0017302861670032144,0.001,0.0012328233569860458
2,0.0011789103737100959,0.001,0.0012750241439789534
3,0.0011807165574282408,0.001,0.0012510791420936584
4,0.0011811488075181842,0.001,0.0012528587831184268
5,0.0011709597893059254,1e-04,0.001225826796144247
6,0.0011708821402862668,1e-04,0.0012273623142391443
7,0.0011708923848345876,1e-04,0.001230450114235282
8,0.0011708124075084925,1e-04,0.0012278081849217415
9,0.0011708849342539907,1e-04,0.0012276628986001015
10,0.0011706204386427999,1e-04,0.0012266539270058274
11,0.0011708263773471117,1e-04,0.001229796907864511
12,0.0011707162484526634,1e-04,0.001234402065165341
13,0.0011706671211868525,1e-04,0.001228206092491746
14,0.001170643838122487,1e-04,0.0012303789844736457
15,0.0011708287056535482,1e-04,0.0012279776856303215
16,0.0011707820231094956,1e-04,0.0012294967891648412
17,0.0011707162484526634,1e-04,0.0012281514937058091
18,0.0011709216050803661,1e-04,0.001226635999046266
19,0.001170828123576939,1e-04,0.0012298248475417495
20,0.0011697106529027224,1e-05,0.0012277733767405152
21,0.0011696391738951206,1e-05,0.001228210749104619
22,0.001169659080915153,1e-05,0.0012277527712285519
23,0.001169652328826487,1e-05,0.0012279669754207134
24,0.0011696470901370049,1e-05,0.0012281591771170497
25,0.0011696353321895003,1e-05,0.0012281638337299228
26,0.0011695979628711939,1e-05,0.0012284303084015846
27,0.0011696466244757175,1e-05,0.0012284787371754646
28,0.0011696269502863288,1e-05,0.0012278652284294367
29,0.0011696392903104424,1e-05,0.0012284847907721996
